asin,best_offer,image,price,title
B0CCGTDSH3,"Em até 10x R$ 118,00 sem juros",https://m.media-amazon.com/images/I/31jnWve26kL._AC_.jpg,1180.0,        Smartphone Xiaomi Note 12 4G 256GB - 8GB Ram (Versao Global) (Onyx Gray)       
B0C2W21JSM,"Em até 10x R$ 120,92 sem juros",https://m.media-amazon.com/images/I/41NJQZKmWrL._AC_.jpg,1209.2,        Smartphone Xiaomi Note 12S 256GB - 8GB Ram (Versao Global) (Onyx Black)       
B0BVX8YJJ2,"Em até 10x R$ 70,70 sem juros",https://m.media-amazon.com/images/I/41wWcid88fL._AC_.jpg,707.0,        Smartphone Xiaomi Redmi 12C 128GB - 4GB Ram (Cinza)       
B0BZ7RJDHD,"Em até 10x R$ 98,99 sem juros",https://m.media-amazon.com/images/I/41lcO6NLW9L._AC_.jpg,989.9,        Smartphone Xiaomi Note 12 4G 128GB 6GB Ram (VERSAO GLOBAL) (Ice Blue)       
asin,best_offer,image,price,title
B0BZYNB4F5,"Em até 10x R$ 153,90 sem juros",https://m.media-amazon.com/images/I/41bH-xW9CCL._AC_.jpg,1539.0,        Smartphone Xiaomi Note 12 5G 256GB - 8GB Ram (Versao Global) (Onyx Gray)       
B0BSXR3QXD,"Em até 10x R$ 114,81 sem juros",https://m.media-amazon.com/images/I/31oG3VP34ZL._AC_.jpg,1147.29,        Smartphone Motorola Moto G53 5G 128GB 4GB RAM Prata       
B0BZHYZ6ND,"Em até 10x R$ 109,90 sem juros",https://m.media-amazon.com/images/I/41FrcqUxfVL._AC_.jpg,1099.0,        Smartphone Xiaomi Note 12 4G 128GB - 8GB Ram (Versao Global) (Mint Green)(M7U)       
B0BXJM3ZKX,"Em até 10x R$ 77,44 sem juros",https://m.media-amazon.com/images/I/31Khz4z5KFL._AC_.jpg,774.04,        Smartphone Xiaomi Redmi 12C 128GB 6GB Ram (Versao Global) (Graphite Gray)(C3T)       
B0BZYQKB9B,"Em até 10x R$ 78,24 sem juros",https://m.media-amazon.com/images/I/51Xfu6hNRkL._AC_.jpg,781.95,        Smartphone Xiaomi Redmi 12C 128GB 6GB Ram (Versao Global) (Ocean Blue)(C3T)       
B0BRQL3FWQ,"Em até 10x R$ 147,10 sem juros",https://m.media-amazon.com/images/I/41aFSbVpXKL._AC_.jpg,1471.0,"        Xiaomi POCO X5 5G Smartphone Dual Sim 256GB Memory 8GB RAM 6.67"" AMOLED Display 5000mAh 48MP+13MP CAM (verde)       "
